volume,issue,article_number,title,authors,category,summary_ollama,summary_haiku
1,3,2,The affordance of anchored discussion for the collaborative processing of academic texts,J. van der Pol & W. Admiraal & P.R.J. Simons,c,,"Anchored discussion systems, which integrate texts directly into online forums with message anchoring capabilities, promote more text-focused and constructive collaboration than traditional forum discussion. Comparing these systems with standard discussion boards in a pedagogy course, the study found anchored discussion produced more meaning-oriented discourse, more efficient communication, and fewer social digressions, making it more suitable for collaborative academic text comprehension among undergraduate students."
1,3,3,Code talk: Student discourse and participation with networked handhelds,Tobin White,c,,"Networked handheld computers in a middle school mathematics classroom expanded collaborative problem-solving participation beyond traditional discourse. Through interactional analysis of two student groups using the Code Breaker cryptography software, the study found that students demonstrating largest achievement gains gave more instructions and responded less frequently. Importantly, shared mathematical objects across devices enabled non-discursive participation forms, allowing lower-status students to contribute meaningfully despite limited verbal participation."
1,3,4,Studying participation networks in collaboration using mixed methods,AlejandraMartínez & Yannis Dimitriadis & Eduardo Gómez-Sánchez & Bartolomé Rubia-Avi & Iván Jorrín-Abellán & Jose A. Marcos,c,,"This study validates a mixed-evaluation method combining social network analysis with qualitative and quantitative approaches to assess participatory learning in CSCL contexts. Applied across three diverse scenarios—blended learning, distance learning, and synchronous collaboration—the method demonstrates flexibility and appropriateness for measuring interaction structures. Results confirm that integrating multiple data sources and analysis techniques provides efficient, reliable evaluation while remaining accessible to practitioners, though resource demands remain substantial."
1,4,0,Social practices of,Gerry Stahl & Friedrich Hesse,e,,"Computer-supported collaborative learning requires students to develop effective social practices to compensate for missing nonverbal cues in virtual environments. This editorial examines four empirical studies investigating how groups establish interaction patterns for dialogue, mathematical inquiry, blended learning dynamics, and consistent communication practices, demonstrating that social practices are central to both individual and collaborative cognition."
1,4,1,From dialogue to monologue and back: Middle spaces in computer-mediated learning,Noel Enyedy & Christopher M. Hoadley,c,,"This study develops a framework distinguishing communication interfaces supporting dialogue from information interfaces supporting monologue in computer-mediated learning. Through design-based research with the Knowledge Integration Environment, the authors examine how students transition between these modes using SpeakEasy and SenseMaker tools. Case analyses reveal that successful learners strategically moved between dialogue and monologue, reflecting on ideas and identifying knowledge gaps, while less successful learners failed to leverage these transitions, suggesting that ""middle spaces"" bridging both modes enhance learning trajectories."
1,4,2,Knowledge building in mathematics: Supporting collaborative learning in pattern problems,Joan Moss & Ruth Beatty,b,,"Grade 4 students using Knowledge Forum, a collaborative online platform, demonstrated sophisticated mathematical reasoning when solving pattern generalization problems. Students found multiple algebraic rules per problem, revised their conjectures over weeks, and increasingly provided detailed justifications—behaviors rarely observed in traditional instruction. Knowledge-building principles of epistemic agency and idea improvement fostered this inquiry orientation, with students spontaneously recognizing structural similarities across problems."
1,4,3,Electronic [re]constitution of groups: Group dynamics from face-to-face to an online setting,Lynn Clouder & Jayne Dalley & Julian Hargreaves & Sally Parkes & Julie Sellars & Jane Toms,c,,"This three-year case study examined how group dynamics change when physiotherapy students transition from face-to-face to online collaboration during clinical placements. Using action research with six seminar groups, researchers analyzed discussion forums, focus groups, and evaluations. Findings reveal that group dynamics remain relatively stable across contexts once established face-to-face, though individual participation may shift online. Social presence proves essential for positive dynamics, yet groups must transcend sociability to develop cognitive presence and deeper learning. Effective facilitation significantly influences outcomes, particularly when managing emotionally charged discussions or low-engagement groups."
1,4,4,Consistent practices in artifact-mediated collaboration,Nathan Dwyer & Daniel D. Suthers,a,,"This study examined how dyads collaboratively solve problems using flexible paper-based media while restricted to written communication. Through video analysis of six pairs discussing wicked problems, researchers identified invariant communicative practices across different materials and participants. Despite varied interaction styles and artifacts, consistent patterns emerged in managing attention, awareness, and ownership of contributions. Findings challenge conventional CSCL design assumptions and suggest that effective collaborative technologies should support flexible semiotic resources rather than rigid representational structures."
2,1,0,Welcome to the future: ijCSCL volume 2,Gerry Stahl & Friedrich Hesse,e,,"This editorial marks ijCSCL's second volume, celebrating the journal's establishment as a vital communication venue for the CSCL community. Nearly one hundred papers were submitted globally, reviewed by two hundred researchers, demonstrating the field's maturation. The journal serves dual purposes: formal publication and constructive peer feedback, advancing collaborative learning research through rigorous editorial processes and community engagement."
2,1,1,"Community-based learning: The core competency of residential, research-based universities",Gerhard Fischer & Markus Rohde & Volker Wulf,f,,"Residential research universities can maintain competitive advantage against online education by adopting community-based learning grounded in socio-cultural theory. The authors present case studies from University of Colorado and University of Siegen demonstrating how integrating students into communities of practice through apprenticeships, peer collaboration, and regional industry partnerships creates meaningful learning experiences that transcend traditional instructionist models, requiring significant cultural change and faculty risk-taking."
2,1,2,Patterns as a paradigm for theory in community-based learning,John M. Carroll & Umer Farooq,c,,"Carroll and Farooq propose design patterns as a theoretical framework for understanding community-based IT learning. Through 12 years of participatory action research with volunteer organizations, they present two patterns: ""Informal Developmental Learning"" addresses lack of IT control through reflection, analysis, and enactment; ""Scaffolded Documentation"" manages knowledge loss from volunteer turnover via technology assessment, contingency planning, and lightweight documentation. Patterns serve as middle-level abstractions capturing recurring problems and solutions intelligible to practitioners themselves."
2,1,3,A rating scheme for assessing the quality of computer-supported collaboration processes,Anne Meier & Hans Spada & Nikol Rummel,d,,"Researchers developed a nine-dimension rating scheme for assessing computer-supported collaboration quality by combining qualitative analysis of student dialogue with theoretical frameworks. Applied to 40 dyads solving interdisciplinary patient cases via videoconferencing, the scheme demonstrated satisfactory inter-rater reliability and successfully detected instructional effects on collaboration processes, offering an efficient alternative to time-consuming transcription-based coding methods."
2,1,4,Investigating patterns of interaction in networked learning and,Maarten de Laat & Vic Lally & Lasse Lipponen & Robert-Jan Simons,c,,"Social Network Analysis (SNA) combined with content analysis and critical event recall provides valuable insights into networked learning communities. This multi-method study examined interaction patterns in an online master's program, revealing how participant roles and network density evolve over time. SNA effectively visualizes collaboration structures and identifies central versus peripheral members, complementing traditional qualitative methods to deepen understanding of computer-supported collaborative learning dynamics."
2,1,5,Barriers to online critical discourse,Liam Rourke & Heather Kanuka,c,,"This qualitative case study examined barriers to critical discourse in online forums within a 15-week graduate humanities course. Through observation and interviews with five distance students, researchers identified three key obstacles: students held competing orientations toward the conference (some seeking critique, others socioemotional support), perceived critiques as personal attacks, and viewed critical discourse as burdensome for participation marks. Structured learning activities with defined roles and assessment methods reflecting engagement effort could mitigate these barriers."
2,2,0,A double issue for CSCL 2007,Gerry Stahl & Daniel D. Suthers & Friedrich Hesse,e,,"This editorial introduces a double issue of the International Journal of Computer-Supported Collaborative Learning coinciding with CSCL 2007. It presents papers organized around two ""flash themes"": scripting in collaborative learning environments and argumentation in CSCL. The collection features empirical studies employing mixed methods—quantitative coding, controlled experiments, and qualitative analysis—demonstrating how structured scripts and argumentative dialogue support knowledge construction in computer-mediated collaborative learning contexts."
2,2,1,Contextual perspective in analysing collaborative knowledge construction of two small groups in web-based discussion,Maarit Arvaja,c,,"This study presents a methodology for analyzing collaborative knowledge construction in asynchronous web-based discussions by examining two student groups' thematic structure, communicative functions, and contextual resources. Comparing novice and experienced teacher-education students, findings reveal that different backgrounds influenced how groups created and interpreted context, negotiated meanings, and selected resources—novices relied on course material and peer discussion, while experienced students drew primarily on personal teaching experience."
2,2,2,Supporting collaborative learning and problem-solving in a constraint-based CSCL environment for UML class diagrams,Nilufar Baghaei & Antonija Mitrovic & Warwick Irwin,b,,"COLLECT-UML is a constraint-based intelligent tutoring system that teaches UML class diagram design while supporting collaborative learning. Using meta-constraints to model collaboration alongside domain constraints, the system provides feedback on both problem-solving and teamwork. Evaluation studies with 48 students showed significant improvements in UML knowledge and collaboration skills, with experimental group participants acquiring greater declarative knowledge about effective collaboration and demonstrating more balanced, active participation."
2,2,3,Dealing with multiple documents on the WWW: The role of metacognition in the formation of documents models,Marc Stadtler & Rainer Bromme,c,,"This study examined whether metacognitive prompting helps laypersons form documents models—integrated representations of content and sources—when researching medical information online. Using an experimental design with 79 participants assigned to groups receiving evaluation prompts, monitoring prompts, both, or neither, researchers found that monitoring prompts enhanced factual knowledge acquisition, while evaluation prompts improved source knowledge and source attribution in essays, supporting metacognition's importance in multiple-document comprehension."
2,2,4,Specifying computer-supported collaboration scripts,Lars Kobbe & Armin Weinberger & Pierre Dillenbourg & Andreas Harrer & Raija Hämäläinen & Päivi Häkkinen & Frank Fischer,a,,"This paper proposes a comprehensive framework for specifying computer-supported collaboration scripts by consolidating prior approaches. Through conceptual analysis, the authors identify five core components (participants, activities, roles, resources, groups) and three mechanisms (task distribution, group formation, sequencing) that enable platform-independent script description. The framework facilitates systematic research, practical design, and computational formalization of collaborative learning scripts across diverse educational contexts."
2,2,5,Scripting by assigning roles: Does it improve knowledge construction in asynchronous discussion groups?,Tammy Schellens & Hilde Van Keer & Bram De Wever & Martin Valcke,b,,"This design-based research compared two cohorts of university students (N=223 and N=286) across consecutive academic years to examine whether assigning rotating roles in asynchronous discussion groups enhances knowledge construction. Using multilevel analysis of coded discussion transcripts and exam scores, results showed that role assignment significantly improved students' knowledge construction levels and final exam performance, with an effect size of 0.5 standard deviations. However, differential effects emerged by role type, with summarizers benefiting most."
2,2,6,Using graphical tools in a phased activity for enhancing dialogical skills: An example with Digalo,Nathalie Muller Mirza & Valérie Tartas & Anne-Nelly Perret-Clermont & Jean-François de Pietro,b,,"This study examined how university students developed argumentative and historical knowledge through a phased learning activity using Digalo, graphical argument-mapping software. Using descriptive analysis of two collective debates about the Valladolid Controversy, researchers found that students constructed complex understanding of the historical topic while developing sophisticated argument-counterargument-reply sequences. The software's visual representations and structured functionalities supported both topic meaning-making and argumentative processes, enabling students to elaborate justifications and integrate opposing perspectives into their reasoning."
2,2,7,How do argumentation diagrams compare when student pairs use them as a means for debate or as a tool for representing debate?,Kristine Lund & Gaëlle Molinari & Arnauld Séjourné & Michael Baker,c,,"This study compared two instructional approaches for using argumentation diagrams during online debates among 36 secondary students. Using the ADAM analysis method, researchers examined individual diagrams created before and after debate, plus collaborative diagrams produced during debate. Results revealed that students instructed to represent their chat debate in diagrams added more non-argumentative relations (examples, causes, consequences), while those using diagrams simultaneously during debate expressed more opinions about arguments. These findings suggest different cognitive mechanisms emerge depending on whether diagrams mediate debate or represent completed debate."
2,2,8,Argumentation in a changing world,Baruch B. Schwarz & Reuma De Groot,a,,"# Summary This design-based research study examined a seven-month history course using the Kishurim program, which promotes critical reasoning through dialogic argumentation supported by the Digalo graphic tool. While traditional measures of argumentative components showed no significant improvement, students demonstrated significant gains in openness, coherence, and decisiveness. Analysis of e-discussions revealed that these criteria better reflect the program's dialogic pedagogical principles than conventional skill-based metrics, suggesting new evaluation standards for collaborative learning environments."
2,2,9,Rainbow: A framework for analysing computer-mediated pedagogical debates,Michael Baker & Jerry Andriessen & Kristine Lund & Marie van Amelsvoort & Matthieu Quignard,c,,"Rainbow is a seven-category analytical framework for analyzing computer-mediated pedagogical debates in CSCL environments. Developed through pragma-dialectical theory and dialogue analysis, it identifies when students broaden and deepen understanding of debate spaces through argumentative interaction. The framework synthesizes existing approaches into coherent functional categories, validated across multiple collaborative learning tasks and communication media with strong inter-coder reliability."
2,4,0,CSCL and its flash themes,Gerry Stahl,e,,"Stahl examines how ""flash themes""—coordinated collections of papers on emerging research topics—develop within the CSCL community through collaborative, iterative processes involving workshops, peer review, and journal publication. Using a dialectical metaphor of logs and fire, he argues that scientific ideas emerge not from individual minds but through situated, institutionally-mediated interactions among researchers, editors, and the broader academic community."
2,4,1,Using activity-oriented design methods to study collaborative knowledge-building in e-learning courses within higher education,Christine Greenhow & Brad Belbas,a,,"Activity-Oriented Design Methods (AODM) operationalize Activity Theory to analyze collaborative knowledge-building in e-learning courses. Using qualitative case study methodology, researchers applied AODM's six-stage framework to examine course design teams and students in online higher education. Findings revealed that peer collaboration, facilitated through small-group assignments and discussion guidelines, supported students' development of statistical knowledge through exploratory talk and iterative refinement of shared learning objects."
2,4,2,Future technology workshop: A collaborative method for the design of new learning technologies and activities,Giasemi N. Vavoula & Mike Sharples,b,,"The Future Technology Workshop (FTW) is a collaborative design method enabling participants with domain knowledge to envision and prototype interactions between current/future technologies and activities. Through seven structured sessions combining brainstorming, low-tech prototyping, role-play, and scenario analysis, participants progress from imagining far-future possibilities to grounding ideas in present constraints, ultimately generating implementable technology requirements. Successfully applied with children and adults across multiple projects, FTW provides cost-effective, pragmatic outcomes directly informing human-centered systems design."
2,4,3,Facilitating argumentative knowledge construction with computer-supported collaboration scripts,Karsten Stegmann & Armin Weinberger & Frank Fischer,a,,"Computer-supported collaboration scripts significantly improve argumentative knowledge construction in online discussions. A 2×2 factorial study with 120 educational science students examined scripts supporting single argument construction and argumentation sequences. Results showed scripts substantially enhanced formal argument quality and argumentation sequence quality. Scripts also facilitated knowledge on argumentation but not domain-specific knowledge, suggesting learners focused effort on argumentation skills rather than content mastery."
2,4,4,The role of floor control and of ontology in argumentative activities with discussion-based tools,Baruch B. Schwarz & Amnon Glassner,c,,"This study examined how informal argumentative ontologies and floor control in synchronous e-discussions affect knowledge co-elaboration among 54 seventh-grade students using the Digalo tool. Using a 2×2 factorial design, researchers compared conditions with/without ontology and with/without floor control. Results showed that combining informal ontology with floor control produced significantly more relevant claims and arguments while reducing chat-style expressions and non-productive peer references, suggesting these design features facilitate collaborative knowledge construction."
2,4,5,Putting the pieces together: Online argumentation vee diagrams enhance thinking during discussions,E. Michael Nussbaum & Denise L. Winsor & Yvette M. Aqui & Anne M. Poliquin,c,,"Online argumentation vee diagrams (AVDs) significantly enhance students' ability to integrate opposing arguments in asynchronous discussions. Using a quasi-experimental design with 87 preservice teachers, students completing individual AVDs before discussions and collaborative group AVDs afterward demonstrated greater compromise-based reasoning and opinion change compared to controls. Scaffolding questions evaluating argument strength proved essential for effectiveness, suggesting structured support facilitates metacognitive reflection necessary for balanced argumentation."
3,1,0,The many levels of CSCL,Gerry Stahl & Friedrich Hesse,e,,"CSCL research operates across multiple interconnected social levels—individual, small group, and classroom—requiring integrated pedagogical designs that coordinate activities across these levels. Effective collaborative learning depends on understanding how constraints at institutional, domain, and technological levels intersect with group dynamics, necessitating both qualitative and quantitative multilevel analyses."
3,1,1,The mechanics of CSCL macro scripts,Pierre Dillenbourg & Fabrice Hong,b,,"Macro scripts structure collaborative learning by strategically distributing resources, roles, and knowledge among team members to increase interaction intensity. Using pedagogical design principles and computational data structure transformations, scripts trigger knowledge-productive interactions like argumentation and explanation. The SWISH model demonstrates how scripts engineer productive learning by creating controlled ""splits"" that require students to interact intensively to reach shared understanding."
3,1,2,What does it mean? Students’ procedural and conceptual problem solving in a CSCL environment designed within the field of science education,Ingeborg Krange & Sten Ludvigsen,c,,"This study examined procedural versus conceptual problem-solving in a CSCL environment where secondary students built a 3D insulin protein model using a codon table. Through interaction analysis of video-recorded collaborative sessions, researchers found that procedural problem-solving dominated student interactions, while conceptual knowledge construction occurred only when necessary for task completion. The authors conclude that institutional pressures to complete curriculum-based problems, combined with how the knowledge domain and tools were designed, prioritized procedural efficiency over deeper scientific understanding."
3,1,3,A Community of Practice among tutors enabling student participation in a seminar preparation,Bernhard Nett,c,,"A tutor community of practice overcame institutional barriers to implementing computer-supported collaborative learning in a Computer and Law seminar. Through informal collaboration and shared identity, tutors self-organized to design and conduct an educational experiment using JurMOO, a text-based virtual platform, for seminar preparation. This bottom-up approach enabled student participation and learning where top-down professor coordination had failed, demonstrating that tutor communities can effectively support educational innovation."
3,1,4,The need for considering multilevel analysis in CSCL research—An appeal for the use of more advanced statistical methods,Ulrike Cress,d,,"CSCL research involves hierarchically nested data—individuals within groups—yet standard statistical methods violate independence assumptions, causing alpha-error inflation. Multilevel modeling (MLM) addresses this by simultaneously analyzing individual and group levels, testing cross-level interactions between within-group predictors and between-group variables. However, MLM requires large sample sizes typically unavailable in CSCL studies, necessitating alternative approaches and careful reporting of intraclass correlations."
3,1,5,Group awareness and self-presentation in computer-supported information exchange,Joachim Kimmerle & Ulrike Cress,c,,"This experimental study examined how group awareness tools and protective self-presentation (PSP) influence knowledge-sharing behavior in computer-supported information exchange. Using a laboratory task simulating a social dilemma, 119 participants worked in three conditions: control, group-feedback, and individual-feedback. Results showed that individual feedback identifying each participant's contributions significantly increased cooperation rates, particularly among high-PSP individuals. An interaction effect emerged: high protective self-presenters were most cooperative when identifiable but least cooperative anonymously, suggesting self-presentation concerns drive knowledge-sharing behavior in collaborative digital environments."
3,2,0,The strength of the lone wolf,Gerry Stahl,e,,"This editorial examines the dialectical relationship between individual and group in computer-supported collaborative learning. Through conceptual analysis of five research papers addressing wikis, group feedback, annotations, argumentation scripts, and macro-scripts, the author argues that CSCL technology must mediate the intersubjective-to-individual learning process. The papers demonstrate how specific tools shape both individual cognition and collaborative group practices."
3,2,1,A systemic and cognitive view on collaborative knowledge building with wikis,Ulrike Cress & Joachim Kimmerle,b,,"This article presents a theoretical framework integrating Luhmann's systems theory with Piaget's equilibration theory to explain collaborative knowledge building in wikis. The model distinguishes between social and cognitive systems, analyzing how externalization and internalization processes enable learning through assimilation and accommodation. Empirical Wikipedia examples demonstrate that medium-level incongruities between individual knowledge and wiki content motivate equilibration activities, driving both individual learning and collaborative knowledge building through co-evolution of systems."
3,2,2,Supporting controversial CSCL discussions with augmented group awareness tools,Jürgen Buder & Daniel Bodemer,b,,"Augmented group awareness tools that aggregate and visualize learner ratings of discussion contributions can strengthen minority influence in collaborative learning. An experimental study with groups discussing controversial physics topics found that groups using rating-based awareness tools made significantly better decisions and showed higher individual learning than unsupported groups, particularly by shifting majority members toward scientifically correct minority viewpoints through enhanced informational influence."
3,2,3,Annotations and the collaborative digital library: Effects of an aligned annotation interface on student argumentation and reading strategies,Joanna Wolfe,c,,"Aligned annotation interfaces—where reader comments appear in text margins—significantly enhance student critical thinking and argumentation. Two complementary studies found that annotations, particularly pairs presenting conflicting viewpoints, prompted students to move beyond passive comprehension toward active evaluation and perspective-taking. Students receiving annotated materials demonstrated reduced reliance on summary strategies and greater engagement with competing positions, suggesting annotations provide valuable scaffolding for developing critical reading and writing practices."
3,2,4,Appropriation of a shared workspace: Organizing principles and their application,Maarten Overdijk & Wouter van Diggelen,c,,"This case study examines how student groups appropriate a graphical shared workspace during computer-mediated argumentative discussion. Through micro-analysis of tool-mediated interactions, the researchers found that groups develop shared organizational principles through implicit negotiation of conventions. Four groups demonstrated distinct orientations—maintaining direct interaction, constructing personal reasoning, or submitting unrelated contributions—resulting in different principles for organizing contributions. The study reveals mutual shaping between students and tool, where early choices constrain later possibilities and strong graphical principles prove difficult to abandon."
3,2,5,Operationalizing macro-scripts in CSCL technological settings,Pierre Tchounikine,c,,"This article proposes SPAIRD, a conceptualization model for operationalizing CSCL macro-scripts—pedagogical activity structures that guide collaborative learning. The research identifies core design dimensions including script reification through technology, student presentation strategies, and uncertainties in script perception and enactment. SPAIRD disentangles structural models, implementation models, platform specifications, and student-oriented models while documenting design rationale. The analysis examines current technological approaches and advocates for flexible, model-based script engines supporting iterative design."
3,3,0,Explorations of participation in discourse,Gerry Stahl & Friedrich Hesse,e,,"This editorial examines how participation in discourse defines collaborative learning in CSCL research. It reviews studies analyzing student communication traces and discourse participation, highlighting challenges in automated analysis due to contextual dependencies. The articles featured demonstrate how technology design, scripting, and computational tools can support students' meaningful participation in disciplinary discourses across diverse learning contexts."
3,3,1,Analyzing collaborative learning processes automatically: Exploiting the advances of computational linguistics in,Carolyn Rosé & Yi-Chia Wang & Yue Cui & Jaime Arguello & Karsten Stegmann & Armin Weinberger & Frank Fischer,c,,"Researchers applied computational linguistics text classification technology to automatically analyze collaborative learning discourse using a multi-dimensional coding scheme. Testing on 1,250 coded segments, they achieved acceptable reliability (Kappa ≥0.7) on several dimensions by designing linguistically-informed features reflecting thread structure and discourse context, demonstrating that feature engineering proved more effective than sophisticated algorithms for this task."
3,3,2,Context-oriented communication and the design of computer-supported discursive learning,Thomas Herrmann & Andrea Kienle,b,,"This theory-driven design experiment develops a context-oriented communication model to guide computer-supported discursive learning (CSDL) system design. Through iterative testing of the KOLUMBUS prototype across five classroom settings, researchers identified that integrating communicative annotations directly with segmented learning material as context significantly enhances mutual understanding in asynchronous discussions. The study extends traditional dyadic communication models by introducing the facilitator as a crucial third party, providing practical design guidelines emphasizing context integration, metadata support, and facilitation features."
3,3,3,Cultural practices in networked classroom learning environments,Nancy Ares,c,,"Networked classroom simulations enable underserved secondary mathematics students to leverage cultural practices as learning resources. This case study examined the Gridlock Participatory Simulation, analyzing how coordination and co-construction activities—supported by multiple communication modes including informal language, gesture, and graphical representations—invited students to draw on community-based interaction patterns while engaging in rigorous mathematical discourse and practice."
